Year,Week,TOTAL DVOA Rank,TEAM,DVOA,LAST YEAR,WEIGHT,RANK,PASS,RANK,RUSH,RANK,NONADJ,NONADJP,NONADJR,VARIANCE,RANK,DEF SCHED,RANK
2023,18,32,ARI,17.3%,26,19.7%,31,29.2%,31,4.9%,30,21.4%,34.7%,7.3%,3.0%,4,4.8%,1
2023,18,24,ATL,5.8%,31,4.8%,24,21.8%,30,-13.3%,11,4.0%,19.6%,-14.5%,3.8%,8,-6.2%,31
2023,18,1,BAL,-23.3%,8,-23.6%,1,-28.8%,1,-14.2%,7,-15.9%,-18.9%,-11.1%,6.3%,22,3.6%,4
2023,18,12,BUF,-3.4%,2,-3.6%,12,0.1%,9,-8.7%,17,-4.8%,-0.4%,-11.7%,6.3%,21,-4.1%,28
2023,18,25,CAR,6.5%,20,3.7%,22,7.3%,17,5.8%,32,9.2%,13.3%,5.1%,1.9%,1,0.7%,13
2023,18,17,CHI,0.8%,32,-6.8%,8,10.0%,20,-14.7%,6,1.8%,12.0%,-15.4%,5.2%,14,-2.0%,25
2023,18,23,CIN,5.5%,7,6.3%,27,8.6%,19,1.3%,28,12.5%,19.4%,3.1%,6.4%,24,4.3%,3
2023,18,2,CLE,-20.7%,16,-15.6%,3,-24.4%,2,-15.6%,4,-15.2%,-18.4%,-10.8%,13.2%,32,3.0%,7
2023,18,5,DAL,-8.7%,4,-7.4%,6,-3.3%,7,-15.4%,5,-10.6%,-7.5%,-14.4%,6.2%,20,-1.4%,24
2023,18,30,DEN,12.1%,13,3.1%,21,17.6%,25,4.9%,31,12.5%,19.7%,3.2%,7.3%,27,-1.0%,23
2023,18,13,DET,-3.2%,27,-0.1%,18,6.5%,16,-18.0%,1,-0.9%,10.5%,-18.4%,7.5%,28,-0.7%,22
2023,18,27,GB,8.2%,25,11.3%,28,17.8%,26,-3.2%,26,5.7%,14.5%,-4.9%,9.5%,31,-3.3%,26
2023,18,16,HOU,0.0%,28,-0.3%,16,13.0%,23,-17.2%,2,-1.1%,10.6%,-16.5%,8.1%,29,-4.9%,29
2023,18,20,IND,2.6%,17,5.6%,25,8.4%,18,-4.0%,24,2.1%,8.8%,-5.5%,4.6%,11,-3.8%,27
2023,18,10,JAC,-4.2%,23,-0.6%,15,1.1%,10,-12.7%,12,1.5%,8.9%,-10.3%,5.2%,12,1.2%,10
2023,18,7,KC,-5.0%,14,-3.6%,11,-7.2%,5,-1.8%,27,-2.8%,-5.1%,0.5%,5.2%,13,-0.3%,19
2023,18,26,LAC,7.5%,21,6.1%,26,18.1%,27,-6.6%,21,8.7%,18.2%,-3.8%,5.8%,18,1.1%,11
2023,18,22,LA,3.4%,18,4.3%,23,10.3%,21,-7.0%,20,6.8%,13.9%,-3.8%,2.7%,3,4.6%,2
2023,18,8,LV,-4.6%,29,-11.1%,4,-2.0%,8,-8.2%,18,-1.8%,2.0%,-6.9%,5.9%,19,0.1%,18
2023,18,19,MIA,2.4%,15,-2.5%,13,11.1%,22,-9.4%,16,0.5%,7.2%,-8.6%,8.4%,30,-5.3%,30
2023,18,11,MIN,-3.9%,24,-5.5%,10,1.7%,11,-11.8%,13,1.8%,9.5%,-9.1%,4.5%,10,2.5%,9
2023,18,9,NE,-4.4%,5,-5.8%,9,4.5%,14,-15.7%,3,0.5%,12.4%,-14.7%,2.1%,2,0.3%,16
2023,18,15,NO,-0.8%,9,1.2%,20,1.7%,12,-4.4%,23,-5.6%,-3.8%,-8.2%,5.7%,17,-6.2%,32
2023,18,21,NYG,3.0%,30,-0.1%,17,3.8%,13,1.9%,29,5.7%,7.0%,4.2%,4.4%,9,3.2%,5
2023,18,3,NYJ,-14.2%,6,-19.2%,2,-17.4%,3,-10.6%,14,-11.0%,-10.6%,-11.5%,5.5%,15,0.5%,15
2023,18,29,PHI,11.4%,3,16.3%,30,21.4%,29,-5.1%,22,14.5%,25.7%,-4.0%,6.8%,26,-0.7%,20
2023,18,6,PIT,-8.0%,12,-7.0%,7,-3.8%,6,-13.6%,9,-4.1%,2.1%,-12.4%,5.7%,16,2.9%,8
2023,18,28,SEA,8.2%,22,11.8%,29,18.4%,28,-3.7%,25,11.2%,19.7%,1.2%,3.4%,6,3.1%,6
2023,18,4,SF,-9.6%,1,-9.2%,5,-9.4%,4,-10.0%,15,-5.2%,-3.8%,-7.7%,6.4%,25,0.7%,12
2023,18,14,TB,-2.4%,11,-2.2%,14,5.1%,15,-13.7%,8,3.7%,12.2%,-9.2%,6.3%,23,-0.7%,21
2023,18,18,TEN,1.4%,19,1.0%,19,13.0%,24,-13.5%,10,3.7%,17.0%,-13.3%,3.0%,5,0.2%,17
2023,18,31,WAS,16.0%,10,20.8%,32,34.9%,32,-7.9%,19,16.8%,35.0%,-6.4%,3.6%,7,0.6%,14
